id,duration,age,hasSmartwatch,gender,fairType
1,5085098,31-40,0,female,1
2,4009298,18-25,1,female,1
3,7753940,18-25,0,female,1
4,9153059,18-25,0,female,1
5,4973889,18-25,1,male,1
6,3951161,18-25,0,female,1
7,5197420,31-40,0,female,1
8,3950543,18-25,0,female,1
9,3798259,18-25,1,female,1
10,9308843,26-30,1,male,2
11,3745019,18-25,0,female,2
12,5024972,18-25,0,female,2
13,5215075,26-30,0,male,2
14,6850942,26-30,1,male,2
15,9266247,31-40,1,female,2
16,3716686,18-25,0,female,2
17,7752638,26-30,0,female,2
18,4809992,31-40,0,male,2
19,4007160,31-40,0,male,2
20,7701997,31-40,0,female,2
21,7851545,26-30,0,female,2
22,7284808,18-25,0,male,2
23,8562272,18-25,0,male,3
24,9041356,18-25,0,male,3
25,7713034,26-30,1,female,3
26,6715363,18-25,0,female,3
27,9116053,18-25,1,male,3
28,8436487,18-25,0,male,3
29,6703739,18-25,0,female,3
30,8386119,18-25,1,male,3
31,6623412,18-25,0,female,3
32,8530384,18-25,0,female,3
33,8874653,18-25,0,male,3
34,4225593,18-25,1,female,3
35,8844603,18-25,0,male,3
36,8351871,18-25,0,female,3
37,9010335,26-30,1,male,3
38,7816946,18-25,0,male,3
39,7757844,26-30,1,male,3
40,9360502,26-30,1,female,3
41,6428978,18-25,0,female,3
42,6732526,18-25,0,female,3
43,8525474,26-30,1,female,3
44,6662013,18-25,0,female,3
